U.S. Regional Level,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
Metropolitan Statistical Area,141940,"San Jose-Sunnyvale-Santa Clara, CA",5812,6377,6433,6838,6885,6502,8129,7191,7213,7840,10074,10256,89547
Metropolitan Statistical Area,135620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",5689,5638,5479,5233,4717,3959,4951,4285,4399,4605,6383,6252,61587
Metropolitan Statistical Area,141860,"San Francisco-Oakland-Fremont, CA",3625,3800,4030,4084,4026,3726,4810,4337,4298,4711,6290,6468,54205
Metropolitan Statistical Area,131100,"Los Angeles-Long Beach-Santa Ana, CA",3877,3995,3889,4057,3959,3674,4445,3696,3594,3864,4992,5154,49193
Metropolitan Statistical Area,114460,"Boston-Cambridge-Quincy, MA-NH",2972,3133,3103,3465,3195,2768,3461,3027,3039,3165,4330,4537,40195
Metropolitan Statistical Area,116980,"Chicago-Joliet-Naperville, IL-IN-WI",3101,2981,2772,2616,2562,2246,2689,2314,2192,2312,2933,3033,31751
Metropolitan Statistical Area,133460,"Minneapolis-St. Paul-Bloomington, MN-WI",2244,2220,2330,2540,2285,1989,2399,2099,2015,2031,2827,3113,28088
Metropolitan Statistical Area,142660,"Seattle-Tacoma-Bellevue, WA",1141,1227,1306,1419,1467,1518,2290,2346,2622,3378,4052,3597,26359
Metropolitan Statistical Area,141740,"San Diego-Carlsbad-San Marcos, CA",1724,1906,1958,2028,1994,1767,2220,2043,1900,1964,2993,3293,25790
Metropolitan Statistical Area,119820,"Detroit-Warren-Livonia, MI",2120,2239,2230,2255,2214,2018,2298,1931,1756,1757,2222,2253,25293
Metropolitan Statistical Area,119100,"Dallas-Fort Worth-Arlington, TX",2116,2130,1926,1884,1959,1685,2016,1766,1669,1676,2189,2215,23230
Metropolitan Statistical Area,112420,"Austin-Round Rock-San Marcos, TX",1680,1732,1653,1792,1733,1623,1912,1794,1951,2137,2449,2460,22916
Metropolitan Statistical Area,137980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2185,2225,2091,1934,1706,1478,1806,1667,1510,1711,2102,2069,22481
Metropolitan Statistical Area,126420,"Houston-Sugar Land-Baytown, TX",1767,1778,1734,1678,1628,1460,1781,1611,1616,1619,2190,2173,21035
Metropolitan Statistical Area,138900,"Portland-Vancouver-Hillsboro, OR-WA",988,1082,1249,1522,1504,1381,1764,1588,1558,1504,1748,1753,17641
Metropolitan Statistical Area,147900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1218,1286,1307,1252,1226,1105,1371,1203,1242,1302,1758,1790,16061
Metropolitan Statistical Area,114260,"Boise City-Nampa, ID",1450,1576,1711,1662,1667,1421,1509,1229,1063,837,948,896,15969
Metropolitan Statistical Area,138060,"Phoenix-Mesa-Glendale, AZ",1259,1126,1206,1207,1211,1077,1253,1171,1134,1091,1339,1364,14438
Metropolitan Statistical Area,140380,"Rochester, NY",1382,1384,1390,1411,1305,1021,1128,1031,879,916,1273,1287,14407
Metropolitan Statistical Area,112060,"Atlanta-Sandy Springs-Marietta, GA",1023,1097,1034,1083,1082,997,1267,1102,1136,1224,1656,1680,14381
Metropolitan Statistical Area,133100,"Miami-Fort Lauderdale-Pompano Beach, FL",989,942,803,825,835,721,898,797,697,728,991,1099,10325
Metropolitan Statistical Area,139580,"Raleigh-Cary, NC",672,692,680,722,701,656,861,779,904,982,1257,1197,10103
Metropolitan Statistical Area,117140,"Cincinnati-Middletown, OH-KY-IN",864,928,1004,956,788,627,697,581,566,636,926,850,9423
Metropolitan Statistical Area,117460,"Cleveland-Elyria-Mentor, OH",772,781,737,699,647,555,557,523,518,513,751,725,7775
Metropolitan Statistical Area,138300,"Pittsburgh, PA",736,664,644,665,618,492,623,491,495,571,740,716,7455
Metropolitan Statistical Area,112580,"Baltimore-Towson, MD",645,685,669,650,602,523,601,532,531,576,711,667,7390
Metropolitan Statistical Area,110580,"Albany-Schenectady-Troy, NY",495,613,764,661,583,468,544,492,516,554,736,713,7137
Metropolitan Statistical Area,141180,"St. Louis, MO-IL",632,674,688,672,596,470,537,485,452,533,721,616,7076
Metropolitan Statistical Area,114860,"Bridgeport-Stamford-Norwalk, CT",669,628,594,576,562,533,561,493,517,519,691,682,7025
Metropolitan Statistical Area,119740,"Denver-Aurora-Broomfield, CO",627,606,577,596,541,492,594,502,480,506,754,745,7018
Metropolitan Statistical Area,139100,"Poughkeepsie-Newburgh-Middletown, NY",523,603,576,558,475,415,584,462,593,637,825,756,7006
Metropolitan Statistical Area,133340,"Milwaukee-Waukesha-West Allis, WI",532,645,662,546,489,461,575,482,429,506,559,552,6438
Metropolitan Statistical Area,114500,"Boulder, CO",458,470,489,486,547,427,489,441,427,502,599,595,5928
Metropolitan Statistical Area,125540,"Hartford-West Hartford-East Hartford, CT",481,515,531,463,435,401,518,391,412,409,557,635,5745
Metropolitan Statistical Area,140900,"Sacramento--Arden-Arcade--Roseville, CA",441,429,447,509,487,455,519,431,408,385,478,470,5459
Metropolitan Statistical Area,126900,"Indianapolis-Carmel, IN",544,513,499,485,409,344,446,415,369,397,495,497,5413
Metropolitan Statistical Area,137100,"Oxnard-Thousand Oaks-Ventura, CA",375,427,433,460,449,406,458,411,381,383,530,535,5245
Metropolitan Statistical Area,111460,"Ann Arbor, MI",371,395,356,382,429,394,405,322,368,381,561,564,4928
Metropolitan Statistical Area,139300,"Providence-New Bedford-Fall River, RI-MA",472,411,401,397,477,361,435,393,324,329,403,483,4886
Metropolitan Statistical Area,149340,"Worcester, MA",362,392,341,376,363,285,394,362,372,413,497,536,4691
Metropolitan Statistical Area,142100,"Santa Cruz-Watsonville, CA",355,379,349,370,368,302,400,349,347,381,514,530,4641
Metropolitan Statistical Area,115540,"Burlington-South Burlington, VT",311,365,413,359,322,303,371,405,378,384,558,443,4612
Metropolitan Statistical Area,146060,"Tucson, AZ",268,325,306,306,342,320,373,336,385,412,550,601,4524
Metropolitan Statistical Area,120500,"Durham-Chapel Hill, NC",325,364,328,369,312,295,412,320,345,396,496,522,4484
Metropolitan Statistical Area,128140,"Kansas City, MO-KS",291,230,308,298,321,286,383,394,368,376,545,636,4436
Metropolitan Statistical Area,122660,"Fort Collins-Loveland, CO",302,347,371,456,459,430,482,372,315,301,302,289,4422
Metropolitan Statistical Area,145300,"Tampa-St. Petersburg-Clearwater, FL",407,367,337,364,332,290,363,286,327,297,469,490,4329
Metropolitan Statistical Area,141620,"Salt Lake City, UT",374,388,362,343,337,260,322,309,273,327,443,494,4232
Metropolitan Statistical Area,140140,"Riverside-San Bernardino-Ontario, CA",362,358,380,392,355,308,364,293,291,295,425,376,4198
Metropolitan Statistical Area,135300,"New Haven-Milford, CT",385,375,347,337,323,331,330,296,262,312,429,421,4148
Metropolitan Statistical Area,118140,"Columbus, OH",342,361,355,345,386,256,326,255,265,303,463,445,4102
Metropolitan Statistical Area,114740,"Bremerton-Silverdale, WA",208,222,245,242,214,242,318,340,366,482,608,537,4021
Metropolitan Statistical Area,140340,"Rochester, MN",262,265,254,262,287,267,320,264,333,380,492,469,3855
Metropolitan Statistical Area,145940,"Trenton-Ewing, NJ",349,366,370,315,261,229,317,262,287,286,399,383,3821
Metropolitan Statistical Area,110420,"Akron, OH",318,359,379,343,329,273,335,266,250,282,333,352,3819
Metropolitan Statistical Area,110900,"Allentown-Bethlehem-Easton, PA-NJ",387,384,316,311,286,255,271,269,245,287,324,306,3641
Metropolitan Statistical Area,131540,"Madison, WI",238,258,269,276,228,224,299,250,256,316,398,382,3394
Metropolitan Statistical Area,137340,"Palm Bay-Melbourne-Titusville, FL",217,277,291,293,296,314,302,299,228,248,272,287,3322
Metropolitan Statistical Area,131700,"Manchester-Nashua, NH",260,257,278,304,283,230,263,258,226,262,327,327,3271
Metropolitan Statistical Area,115380,"Buffalo-Niagara Falls, NY",363,354,333,361,324,218,229,202,177,204,237,256,3258
Metropolitan Statistical Area,136740,"Orlando-Kissimmee-Sanford, FL",183,253,221,248,253,235,252,220,209,246,303,324,2946
Metropolitan Statistical Area,117820,"Colorado Springs, CO",272,278,264,309,281,252,242,190,181,173,201,197,2840
Metropolitan Statistical Area,118700,"Corvallis, OR",131,155,198,211,247,259,323,290,265,229,250,202,2760
Metropolitan Statistical Area,116740,"Charlotte-Gastonia-Rock Hill, NC-SC",273,261,245,216,185,171,209,185,190,211,309,283,2735
Metropolitan Statistical Area,110740,"Albuquerque, NM",223,251,248,241,246,177,209,187,182,199,257,250,2670
Metropolitan Statistical Area,141700,"San Antonio-New Braunfels, TX",245,238,223,207,200,149,198,187,149,169,315,327,2607
Metropolitan Statistical Area,142060,"Santa Barbara-Santa Maria-Goleta, CA",171,186,188,229,201,209,211,238,173,207,255,274,2542
Metropolitan Statistical Area,119380,"Dayton, OH",274,259,288,288,238,171,188,167,147,153,182,185,2540
Metropolitan Statistical Area,139340,"Provo-Orem, UT",132,127,133,124,151,109,155,162,199,242,323,325,2182
Metropolitan Statistical Area,130460,"Lexington-Fayette, KY",176,203,179,170,155,134,184,189,201,157,230,187,2165
Metropolitan Statistical Area,129820,"Las Vegas-Paradise, NV",167,156,141,181,169,191,171,195,189,144,225,231,2160
Metropolitan Statistical Area,142220,"Santa Rosa-Petaluma, CA",148,154,173,171,216,186,212,163,140,177,213,198,2151
Metropolitan Statistical Area,124540,"Greeley, CO",118,145,153,163,198,203,233,187,160,174,192,191,2113
Metropolitan Statistical Area,137900,"Peoria, IL",236,188,186,179,132,128,137,144,170,165,215,233,2113
Metropolitan Statistical Area,124860,"Greenville-Mauldin-Easley, SC",136,178,181,167,152,147,201,146,134,163,189,282,2076
Metropolitan Statistical Area,140060,"Richmond, VA",166,161,169,181,168,132,155,143,143,156,258,224,2056
Metropolitan Statistical Area,132820,"Memphis, TN-MS-AR",153,144,142,141,133,107,161,159,130,185,296,302,2052
Metropolitan Statistical Area,113780,"Binghamton, NY",221,237,206,215,185,152,196,157,121,106,116,117,2029
Metropolitan Statistical Area,139900,"Reno-Sparks, NV",115,115,122,165,186,145,168,132,149,160,264,276,1998
Metropolitan Statistical Area,119780,"Des Moines-West Des Moines, IA",119,188,116,147,143,140,178,183,143,189,174,233,1953
Metropolitan Statistical Area,124340,"Grand Rapids-Wyoming, MI",174,194,195,181,165,140,141,127,135,117,159,189,1917
Metropolitan Statistical Area,145060,"Syracuse, NY",195,147,140,157,144,147,174,161,123,119,164,188,1859
Metropolitan Statistical Area,128940,"Knoxville, TN",170,183,174,167,140,123,127,136,122,120,202,188,1852
Metropolitan Statistical Area,134980,"Nashville-Davidson--Murfreesboro--Franklin, TN",155,164,151,159,151,113,149,116,126,130,196,212,1822
Metropolitan Statistical Area,111540,"Appleton, WI",148,175,187,197,199,145,131,112,109,78,118,111,1710
Metropolitan Statistical Area,126100,"Holland-Grand Haven, MI",166,165,178,146,129,128,135,106,140,128,133,133,1684
Metropolitan Statistical Area,147260,"Virginia Beach-Norfolk-Newport News, VA-NC",148,149,161,169,137,125,121,127,121,108,161,111,1638
Metropolitan Statistical Area,136420,"Oklahoma City, OK",178,176,156,146,115,113,148,136,111,100,120,127,1626
Metropolitan Statistical Area,145780,"Toledo, OH",202,190,147,129,130,104,119,103,110,105,136,143,1615
Metropolitan Statistical Area,131140,"Louisville/Jefferson County, KY-IN",147,148,120,152,168,116,125,113,101,96,159,156,1601
Metropolitan Statistical Area,135980,"Norwich-New London, CT",165,175,186,184,141,154,139,104,86,86,94,84,1598
Metropolitan Statistical Area,115940,"Canton-Massillon, OH",108,110,140,136,117,105,141,133,135,135,148,166,1574
Metropolitan Statistical Area,126620,"Huntsville, AL",103,126,132,147,138,114,122,107,112,115,201,148,1565
