GeoFips,GeoName,2008,2009,2010,2011,2012
,,,,,,
998,United States (Metropolitan Portion),257996520,260573371,263025749,265289617,267628293
,,,,,,
10180,"Abilene, TX (Metropolitan Statistical Area)",162508,163888,165627,166571,167422
,,,,,,
10420,"Akron, OH (Metropolitan Statistical Area)",703300,703361,705474,705417,704957
,,,,,,
10500,"Albany, GA (Metropolitan Statistical Area)",157551,157969,157450,157589,157179
,,,,,,
10540,"Albany, OR (Metropolitan Statistical Area)",114967,116001,116887,118178,118407
,,,,,,
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",866282,869361,870913,872854,875158
,,,,,,
10740,"Albuquerque, NM (Metropolitan Statistical Area)",863383,876448,889627,896871,900464
,,,,,,
10780,"Alexandria, LA (Metropolitan Statistical Area)",152442,153164,154100,154386,154332
,,,,,,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",814050,817779,821945,824972,826914
,,,,,,
11020,"Altoona, PA (Metropolitan Statistical Area)",127112,127161,127020,127200,127004
,,,,,,
11100,"Amarillo, TX (Metropolitan Statistical Area)",246458,249373,252686,255880,257560
,,,,,,
11180,"Ames, IA (Metropolitan Statistical Area)",87831,89285,89595,90834,91630
,,,,,,
11260,"Anchorage, AK (Metropolitan Statistical Area)",365633,374562,383144,387793,392139
,,,,,,
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",341595,343520,345243,348650,351146
,,,,,,
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",117274,118363,118448,117769,117253
,,,,,,
11540,"Appleton, WI (Metropolitan Statistical Area)",222402,224632,225844,227425,228639
,,,,,,
11700,"Asheville, NC (Metropolitan Statistical Area)",417457,422014,425493,428510,432209
,,,,,,
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",189948,192021,193433,194612,196412
,,,,,,
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",5170099,5240828,5304197,5373498,5454429
,,,,,,
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",273014,274049,274732,274794,275362
,,,,,,
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",134524,138566,140850,143869,147808
,,,,,,
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",552627,558096,566720,571000,576500
,,,,,,
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",1633870,1682338,1727784,1781871,1835110
,,,,,,
12540,"Bakersfield, CA (Metropolitan Statistical Area)",818327,830137,841796,849467,855498
,,,,,,
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2679819,2696018,2715312,2734235,2753922
,,,,,,
12620,"Bangor, ME (Metropolitan Statistical Area)",153372,153770,153826,153776,153509
,,,,,,
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",217066,215994,215918,215398,214947
,,,,,,
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",787767,795897,804472,808658,814896
,,,,,,
12980,"Battle Creek, MI (Metropolitan Statistical Area)",137313,136301,136008,135400,134949
,,,,,,
13020,"Bay City, MI (Metropolitan Statistical Area)",108320,107913,107697,107229,106890
,,,,,,
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",399641,401592,403741,405154,403711
,,,,,,
13220,"Beckley, WV (Metropolitan Statistical Area)",124550,124816,124900,125186,125075
,,,,,,
13380,"Bellingham, WA (Metropolitan Statistical Area)",196708,199865,201547,203356,204932
,,,,,,
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",156820,157345,157841,159800,161887
,,,,,,
13740,"Billings, MT (Metropolitan Statistical Area)",155110,157395,159334,160781,162866
,,,,,,
13780,"Binghamton, NY (Metropolitan Statistical Area)",252527,252171,251460,250257,248772
,,,,,,
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1117101,1125271,1129096,1131325,1134915
,,,,,,
13900,"Bismarck, ND (Metropolitan Statistical Area)",111282,113143,115233,117208,120085
