GeoFips,GeoName,2001,2002,2003,2004,2005
,,,,,,
998,United States (Metropolitan Portion),240128266,242665792,244993933,247510633,250039935
,,,,,,
10180,"Abilene, TX (Metropolitan Statistical Area)",158917,159012,158810,160156,160761
,,,,,,
10420,"Akron, OH (Metropolitan Statistical Area)",698108,699533,701139,701811,702498
,,,,,,
10500,"Albany, GA (Metropolitan Statistical Area)",157735,156947,156914,156911,156886
,,,,,,
10540,"Albany, OR (Metropolitan Statistical Area)",103544,104561,106035,106799,108132
,,,,,,
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",831034,836753,844619,850384,854604
,,,,,,
10740,"Albuquerque, NM (Metropolitan Statistical Area)",741932,757716,772128,789237,809551
,,,,,,
10780,"Alexandria, LA (Metropolitan Statistical Area)",145102,145416,146017,146973,147930
,,,,,,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",748705,756628,766938,777277,787738
,,,,,,
11020,"Altoona, PA (Metropolitan Statistical Area)",128471,127631,127353,127194,126730
,,,,,,
11100,"Amarillo, TX (Metropolitan Statistical Area)",230351,232326,235138,237566,240380
,,,,,,
11180,"Ames, IA (Metropolitan Statistical Area)",80260,81885,82068,82754,82884
,,,,,,
11260,"Anchorage, AK (Metropolitan Statistical Area)",326081,332582,337730,345245,350903
,,,,,,
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",328749,332763,336154,339422,342234
,,,,,,
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",111266,111625,112705,113462,114477
,,,,,,
11540,"Appleton, WI (Metropolitan Statistical Area)",205676,208747,211350,213592,215925
,,,,,,
11700,"Asheville, NC (Metropolitan Statistical Area)",374904,379818,385178,390713,396408
,,,,,,
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",168973,170838,173847,178106,178974
,,,,,,
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",4402455,4489288,4572541,4659574,4770870
,,,,,,
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",255737,259263,263285,267723,270332
,,,,,,
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",116819,118392,120071,122274,126133
,,,,,,
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",512626,516818,520120,526789,531294
,,,,,,
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",1321316,1347822,1376030,1410058,1453358
,,,,,,
12540,"Bakersfield, CA (Metropolitan Statistical Area)",676574,694059,714272,736296,760726
,,,,,,
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2575471,2596501,2614232,2630946,2644231
,,,,,,
12620,"Bangor, ME (Metropolitan Statistical Area)",146110,147298,148759,148814,149726
,,,,,,
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",224087,225421,226011,224264,221995
,,,,,,
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",710731,715379,722274,729774,735507
,,,,,,
12980,"Battle Creek, MI (Metropolitan Statistical Area)",138158,138580,138962,139443,138946
,,,,,,
13020,"Bay City, MI (Metropolitan Statistical Area)",109836,109861,109559,109453,109165
,,,,,,
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",397731,397949,398146,398998,400115
,,,,,,
13220,"Beckley, WV (Metropolitan Statistical Area)",125318,125672,125519,125145,124570
,,,,,,
13380,"Bellingham, WA (Metropolitan Statistical Area)",171172,174904,177851,181756,185450
,,,,,,
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",120526,125247,129094,133756,140567
,,,,,,
13740,"Billings, MT (Metropolitan Statistical Area)",141458,142891,144443,146238,148558
,,,,,,
13780,"Binghamton, NY (Metropolitan Statistical Area)",252580,253430,252932,252605,252088
,,,,,,
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1059082,1062966,1070886,1078204,1086318
,,,,,,
13900,"Bismarck, ND (Metropolitan Statistical Area)",101289,102340,103201,104211,105942
,,,,,,
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",167434,167498,168270,169018,170990
,,,,,,
14010,"Bloomington, IL (Metropolitan Statistical Area)",169505,172555,174481,175767,177015
,,,,,,
